,PIB par capita,Vitesse de téléchargement (Mb/s) moyenne,"Litres d'alcool consommé par an, par capita chez 15+",Homicide volontaire par 100k personnes,%PIB dépensé dans le militaire,Indice de développement humain,Indice de démocratie,% d'éducation tertiare de 2 ans atteint,% d'importance de la religion,% de chrétiens,% de musulmans,% de bouddhistes,% de juifs,Mortalité en dessous de 5 ans (mort/1k naissance),Age de responsabilité criminelle,Salaire minimum annuel,Dette externe en % de PIB,Indice de Gini en %,Dépense en santé par capita,Taux de suicide,Taux de fertilité,Consommateur de tabac chez 15+,Taux d'obésité,Taux d'utilisateur d'Internet,Age médian,Score de liberté économique,Production de pétrole,Taux de croissance de population,Espérance de vie,Consommation de viande en kg par capita,Taux d'incarcération par 100k,Taux d'alphabétisation,Age de premier marriage,"Dépense en éducation, % du PIB",Taux d'itinérance par 100k,Consommation de lait par capita,Nombre d'articles scientifique par capita,Livres publiés par année,Consommation de nourriture en kilocalories,Température annuelle moyenne,corr_a1,corr_a2
PIB par capita,1.0,0.5839194662734187,0.4227386904636162,-0.2635671319469566,0.04492573969230507,0.7133474356505674,0.5986479110314084,0.3588195462850522,-0.5432838986597976,0.09351958973035847,-0.2586282039752701,-0.06788719786996633,0.24165518189158178,-0.48365665705797467,0.11015043814012218,0.7557282333861753,0.45111608721520197,-0.31502464420865023,0.2854432783767368,-0.03307637407806931,-0.48918103316800177,0.44395204029300717,0.32903304965064817,0.6069449052513939,0.5814591649631387,0.6734787586048355,0.3004596640969958,-0.2818944118539277,0.7023360738571546,0.7253019937335409,-0.17814968605174233,0.2131821335983084,0.635409576401867,0.2117602439193996,-0.20661945308142599,0.6232055128099525,0.8836708944469874,0.22555236943430781,0.6067264295676535,-0.4052437885415282,0.33397851674163864,0.3224298791676013
Vitesse de téléchargement (Mb/s) moyenne,0.5839194662734187,1.0,0.3277746500121176,-0.20048200038655567,-0.02471349440234543,0.3818806360848459,0.3315720914706337,0.255482667007179,-0.3734251687643443,-0.02057103210119951,-0.1980191530179845,0.3335427851588547,0.19608786969767908,-0.12445118341654163,-0.13347852458735246,0.41828510310390543,0.18040480566280484,-0.21310049941204312,0.2322254163044726,0.07607822824776789,-0.21004472751144102,0.13737845397239484,-0.00929568818194622,0.376573647230676,0.35571945174302244,0.46309664999408645,0.05905075723968984,-0.17063849321466956,0.3819560832518904,0.3847257137228061,-0.1264227107566444,0.029637699205262436,0.3212953346909825,0.1315913670545778,-0.0170031698357504,0.19422468335919316,0.546426741710301,0.27875971845137126,0.2800780900746773,-0.24529872031268712,0.07528353944692714,0.32676710266199044
"Litres d'alcool consommé par an, par capita chez 15+",0.4227386904636162,0.3277746500121176,1.0,-0.051036419949765426,-0.17631572425584258,0.5014910055607156,0.5455359742038927,0.07533738408535132,-0.6412568645475187,0.5146616799232725,-0.6787406540308468,0.02097139590940204,0.009460979593639555,-0.3522722197668463,0.330849180716389,0.469379378466379,0.2953199390591768,-0.22147938980165693,0.11984224436675357,0.1579914704044085,-0.4234336539794811,0.36122249316267246,0.14199119579921893,0.43100688732164044,0.596500280102799,0.4144229598614624,-0.11102919045129919,-0.5462719392667948,0.35407558080423557,0.5200391606523954,0.0917050648627802,0.4986068645259363,0.5007074621055815,0.21777831804293704,-0.2618750107463501,0.47373764954831654,0.47267148600041947,0.1460697443462016,0.37997229098174296,-0.5391891025816685,-0.09461569026005534,0.17839712634059837
Homicide volontaire par 100k personnes,-0.2635671319469566,-0.20048200038655567,-0.051036419949765426,1.0,-0.10710172005278056,-0.24939295336109357,-0.0015351285615947626,-0.2142821420104851,0.1739641152185501,0.32348874839869357,-0.23551530960721928,-0.035612169978721984,-0.03797674931312623,0.1973439774433501,-0.12221455225090963,-0.22452966557556017,-0.1673699672050845,0.41919346190504964,-0.02446193856444642,0.27177667796605687,0.10580947452094358,-0.34233534929407156,0.07770878822579017,-0.2012135625935159,-0.24977929645172645,-0.23951465388043047,-0.061881705238079995,0.0579616277390948,-0.35220135967416055,-0.13409702745761015,0.27677410385707285,-0.04434570465137771,-0.10264769033578786,0.12540943959599443,0.18356441134914883,-0.22400675516965213,-0.3099778466819166,-0.14307921995140957,-0.2788574824419411,0.27546266964245436,-0.0680314454033637,-0.16607542928138186
%PIB dépensé dans le militaire,0.04492573969230507,-0.02471349440234543,-0.17631572425584258,-0.10710172005278056,1.0,0.13667966241470883,-0.13589039086254695,-0.24349485685227412,0.14725634840032092,-0.14900777648463912,0.17818137220104865,-0.017905359820099918,0.06558460414664014,-0.10366549847968377,-0.08937664063903747,0.13220249572869558,-0.07770615787748134,0.1633824765830914,0.028164453849604885,-0.1013462957412822,-0.00032225552906592933,-0.06660440218242289,0.19720410932032398,0.09944753110636101,-0.01901804548807144,-0.04034360425097801,0.3063059164866359,0.17229172446750418,0.09134570480475351,0.0046982387350663546,-0.08648882649210443,-0.08808554194066674,-0.06909929398798474,0.27388469476699334,-0.16607334698516127,0.04519378269385135,0.0059305496538384584,-0.06402210126744737,0.15205287101872617,0.16582854097614394,0.30564251373545276,-0.0454454193748958
Indice de développement humain,0.7133474356505674,0.3818806360848459,0.5014910055607156,-0.24939295336109357,0.13667966241470883,1.0,0.6386149433463933,0.08522755322385817,-0.6388998830284189,0.13052625112403357,-0.3115561244092454,0.06507383342068944,0.17119753616372094,-0.8749661232888672,0.19729375352030717,0.6576854936638006,0.40824405920897927,-0.37944829917930145,0.08871288862804781,-0.14276413388605488,-0.8623003425863727,0.5280833012075234,0.6063700882298614,0.8815049745434806,0.8874235269512855,0.6679480324813512,0.21984908742173492,-0.653826067950804,0.91184613785231,0.7628570180594827,0.16301560413064967,0.6704172920839061,0.7887345970142297,0.2715286823436485,-0.3420220557318073,0.7116177199881959,0.7267777973719901,0.2688559211273704,0.8121037828257476,-0.5449530827913386,0.23987601909070527,0.33672548096092025
Indice de démocratie,0.5986479110314084,0.3315720914706337,0.5455359742038927,-0.0015351285615947626,-0.13589039086254695,0.6386149433463933,1.0,0.024718926307257645,-0.46704387006239845,0.38004364126005113,-0.5491833367855123,-0.007995715396599504,0.1606042698114381,-0.5085226338544477,0.06814020498591199,0.6011274444870356,0.36470438245948,-0.1531453456523373,0.08535089718541447,0.07079226944503052,-0.5565454017119486,0.2156058017527833,0.25631356961786195,0.5333088285735452,0.594805061797388,0.6306333908731956,-0.012791210319244753,-0.5119553158050568,0.5805781980934167,0.6179733248677094,0.010884573085564161,0.3783137080557963,0.6843977585918141,0.3536971471805958,-0.333879234573625,0.5382385850641683,0.6504759760175145,0.13869211004493287,0.5016497728974221,-0.3734595798180322,0.010448012366782396,0.1909791131512248
% d'éducation tertiare de 2 ans atteint,0.3588195462850522,0.255482667007179,0.07533738408535132,-0.2142821420104851,-0.24349485685227412,0.08522755322385817,0.024718926307257645,1.0,-0.3594009563688072,-0.12031210623111267,-0.04754588056190862,-0.020924837573428653,0.24121036040249116,0.0071831133800890675,-0.022569215863429137,0.2650217284931324,0.0855277506005129,-0.2774697336095479,0.26333149723804894,0.16323203985389942,0.02693078810068072,0.10394576754999167,-0.06521310565385022,0.03200511903524634,0.020088222327040356,0.15983277615949634,0.21788257880938297,0.051008894299381415,0.1194616646002019,0.0887825389895606,-0.16754363550272933,-0.13599603568552146,-0.018695128353436445,-0.05511460219517399,0.047355060052240563,0.1400785673026598,0.27783099624413393,0.03591083465228085,-0.005465093268155086,-0.24473003621923212,0.2296838364543693,0.07599189108783981
% d'importance de la religion,-0.5432838986597976,-0.3734251687643443,-0.6412568645475187,0.1739641152185501,0.14725634840032092,-0.6388998830284189,-0.46704387006239845,-0.3594009563688072,1.0,-0.12981142763257741,0.364400535117606,0.13811469591508901,-0.10295085398254486,0.5021775393522661,-0.3599555721156679,-0.533790390660762,-0.31489249866027974,0.3923392265911984,-0.09953505069938506,-0.10327453193051282,0.5550403515813414,-0.5033929678702349,-0.24380585921307305,-0.6086085133144041,-0.6862828600360688,-0.47707888854396424,0.004907201867527073,0.5767725007460222,-0.5504852929397079,-0.5712288517417999,0.014919099190879791,-0.5671654342702394,-0.5651235059426283,-0.2909872720244327,0.19691177915918673,-0.5960526559907765,-0.6042306208707396,-0.26780092661549854,-0.5175053444831913,0.6572724137936066,-0.010981041382587303,-0.3116712447830603
% de chrétiens,0.09351958973035847,-0.02057103210119951,0.5146616799232725,0.32348874839869357,-0.14900777648463912,0.13052625112403357,0.38004364126005113,-0.12031210623111267,-0.12981142763257741,1.0,-0.7384522513833587,-0.14960880459459364,-0.06274085774477792,-0.12947125787488448,0.16963323375809228,0.0784687934051035,0.17497214373153797,0.2451457078121361,0.03866554391697462,0.17570528254469456,-0.17530906258490336,-0.03559818577326995,0.16512294608093056,0.07954385596644786,0.18535990799074262,0.049317837865094694,-0.11417261963372181,-0.27974611314209485,-0.0035670947522138184,0.20810374892439035,0.1691879136873976,0.30912761471868583,0.19837535419917396,0.17573742219381144,-0.11642662322131725,0.16429084969656982,0.1366740244777603,-0.0934488008124334,-0.022714107592750304,-0.1289085617321558,-0.10455112815956773,-0.08669009283769015
